Country,Continent,Yield
Turkey 9M,Europe,36.308
Turkey 6M,Europe,36.041
Turkey 3Y,Europe,35.96
Turkey 3M,Europe,35.417
Turkey 5Y,Europe,34.83
Turkey 10Y,Europe,31.275
Ukraine 1Y,Europe,24.75
Ukraine 2Y,Europe,23.1
Ukraine 3Y,Europe,22.15
Kazakhstan 6M,Asia,16.65
Kazakhstan 1Y,Asia,16.164
Kazakhstan 2Y,Asia,16.036
Kazakhstan 3Y,Asia,15.7
Kazakhstan 4Y,Asia,15.434
Kazakhstan 5Y,Asia,15.3
Kazakhstan 6Y,Asia,15.171
Kazakhstan 7Y,Asia,15.089
Kazakhstan 15Y,Asia,15.028
Kazakhstan 8Y,Asia,15.017
Kazakhstan 10Y,Asia,15.011
Kazakhstan 9Y,Asia,15.004
Russia 5Y,Asia,14.755
Russia 7Y,Asia,14.745
Russia 10Y,Asia,14.595
Russia 3Y,Asia,14.579
Brazil 3M,South America,14.578
Russia 2Y,Asia,14.36
Russia 15Y,Asia,14.354
Colombia 5Y,South America,14.29
Colombia 4Y,South America,14.25
Brazil 6M,South America,14.23
Russia 20Y,Asia,14.202
Brazil 8Y,South America,13.998
Brazil 10Y,South America,13.995
Russia 1Y,Asia,13.995
Colombia 2Y,South America,13.9
Brazil 9M,South America,13.865
Russia 6M,Asia,13.688
Colombia 15Y,South America,13.6
Brazil 5Y,South America,13.587
Russia 3M,Asia,13.476
Russia 2M,Asia,13.389
Colombia 10Y,South America,13.366
Russia 1M,Asia,13.298
Brazil 1Y,South America,13.265
Brazil 3Y,South America,13.225
Brazil 2Y,South America,13.177
Pakistan 20Y,Asia,11.859
Pakistan 14Y,Asia,11.835
Pakistan 10Y,Asia,11.716
Sri Lanka 15Y,Asia,11.038
Pakistan 5Y,Asia,10.986
Pakistan 3Y,Asia,10.92
Sri Lanka 10Y,Asia,10.794
Sri Lanka 9Y,Asia,10.758
Sri Lanka 8Y,Asia,10.547
Bangladesh 2Y,Asia,10.49
Bangladesh 20Y,Asia,10.47
Bangladesh 10Y,Asia,10.4
Bangladesh 15Y,Asia,10.37
Bangladesh 5Y,Asia,10.35
Sri Lanka 7Y,Asia,10.231
Bangladesh 6M,Asia,10.01
Bangladesh 1Y,Asia,9.97
Bangladesh 3M,Asia,9.93
Sri Lanka 5Y,Asia,9.848
Sri Lanka 6Y,Asia,9.833
Sri Lanka 4Y,Asia,9.612
Mexico 30Y,North America,9.45
Mexico 20Y,North America,9.374
Mexico 15Y,North America,9.244
Sri Lanka 3Y,Asia,9.198
Sri Lanka 2Y,Asia,9.046
Mexico 10Y,North America,8.99
Mexico 7Y,North America,8.69
Mexico 5Y,North America,8.454
Sri Lanka 1Y,Asia,8.21
Sri Lanka 6M,Asia,8.05
Sri Lanka 3M,Asia,7.85
Mexico 3Y,North America,7.84
India 40Y,Asia,7.479
India 30Y,Asia,7.434
India 24Y,Asia,7.347
Iceland 2Y,Europe,7.241
India 19Y,Asia,7.227
Mexico 1Y,North America,7.22
Hungary 20Y,Europe,7.2
Mexico 6M,North America,7.13
Mexico 9M,North America,7.13
Hungary 15Y,Europe,7.12
Mexico 3M,North America,7.11
India 15Y,Asia,7.106
Hungary 10Y,Europe,7.02
India 14Y,Asia,7.001
India 13Y,Asia,6.986
Mexico 1M,North America,6.92
Iceland 5Y,Europe,6.862
India 12Y,Asia,6.839
India 11Y,Asia,6.824
Indonesia 15Y,Asia,6.795
Indonesia 25Y,Asia,6.791
Indonesia 30Y,Asia,6.786
Romania 10Y,Europe,6.75
Romania 7Y,Europe,6.72
Indonesia 20Y,Asia,6.716
India 10Y,Asia,6.688
Hungary 5Y,Europe,6.68
India 8Y,Asia,6.675
Iceland 10Y,Europe,6.636
India 7Y,Asia,6.634
India 6Y,Asia,6.607
India 9Y,Asia,6.599
Indonesia 10Y,Asia,6.588
Peru 15Y,South America,6.572
Hungary 3Y,Europe,6.56
Romania 5Y,Europe,6.55
Philippines 20Y,Asia,6.503
Romania 3Y,Europe,6.5
Romania 4Y,Europe,6.49
Romania 2Y,Europe,6.47
India 5Y,Asia,6.38
Philippines 10Y,Asia,6.311
Bahrain 5Y,Asia,6.302
Romania 1Y,Europe,6.3
India 4Y,Asia,6.29
Romania 6M,Europe,6.2
Hungary 3M,Europe,6.19
Hungary 6M,Europe,6.19
Hungary 1Y,Europe,6.14
Philippines 7Y,Asia,6.113
Peru 30Y,South America,6.104
Peru 20Y,South America,6.1
Indonesia 5Y,Asia,6.05
India 3Y,Asia,6.004
Bahrain 2Y,Asia,5.901
Philippines 5Y,Asia,5.888
Jordan 18M,Asia,5.735
India 2Y,Asia,5.7
India 1Y,Asia,5.64
Philippines 4Y,Asia,5.633
Poland 10Y,Europe,5.57
Chile 30Y,South America,5.55
Philippines 3Y,Asia,5.525
India 6M,Asia,5.51
Chile 20Y,South America,5.5
Chile 10Y,South America,5.325
India 3M,Asia,5.31
Indonesia 1Y,Asia,5.31
Australia 30Y,Oceania,5.297
Qatar 30Y,Asia,5.289
Chile 8Y,South America,5.28
Indonesia 3Y,Asia,5.266
Australia 20Y,Oceania,5.254
Philippines 2Y,Asia,5.227
Serbia 10Y,Europe,5.215
Bahrain 1Y,Asia,5.214
New Zealand 20Y,Oceania,5.136
Bahrain 9M,Asia,5.092
Australia 15Y,Oceania,5.068
Bahrain 6M,Asia,5.061
Indonesia 6M,Asia,5.059
Bahrain 3M,Asia,5.047
Qatar 20Y,Asia,5.038
Chile 5Y,South America,5.0
Chile 4Y,South America,4.99
Indonesia 3M,Asia,4.967
Australia 12Y,Oceania,4.915
Poland 5Y,Europe,4.905
New Zealand 15Y,Oceania,4.893
Indonesia 1M,Asia,4.886
Australia 10Y,Oceania,4.845
Australia 9Y,Oceania,4.784
Chile 2Y,South America,4.72
Australia 8Y,Oceania,4.71
Poland 4Y,Europe,4.705
Serbia 7Y,Europe,4.68
Australia 7Y,Oceania,4.657
Philippines 6M,Asia,4.621
Chile 1Y,South America,4.6
Australia 6Y,Oceania,4.553
Poland 3Y,Europe,4.543
Vietnam 30Y,Asia,4.54
Serbia 3Y,Europe,4.535
New Zealand 10Y,Oceania,4.515
Vietnam 20Y,Asia,4.499
Australia 5Y,Oceania,4.494
Philippines 3M,Asia,4.451
Australia 4Y,Oceania,4.447
Australia 3Y,Oceania,4.432
Serbia 1Y,Europe,4.42
Italy 30Y,Europe,4.419
Peru 5Y,South America,4.416
France 30Y,Europe,4.388
Norway 20Y,Europe,4.386
Vietnam 15Y,Asia,4.378
Australia 2Y,Oceania,4.369
Norway 10Y,Europe,4.361
Italy 25Y,Europe,4.347
Israel 30Y,Asia,4.317
Malta 25Y,Europe,4.315
Vietnam 10Y,Asia,4.306
Australia 1Y,Oceania,4.299
Greece 30Y,Europe,4.286
Philippines 1M,Asia,4.277
Philippines 1Y,Asia,4.277
Slovakia 50Y,Europe,4.277
Israel 1M,Asia,4.27
Norway 5Y,Europe,4.268
France 25Y,Europe,4.241
New Zealand 7Y,Oceania,4.236
Belgium 30Y,Europe,4.23
Norway 3Y,Europe,4.229
Italy 20Y,Europe,4.228
Italy 50Y,Europe,4.2
Slovakia 30Y,Europe,4.2
Malta 20Y,Europe,4.179
Norway 1Y,Europe,4.157
Slovakia 18Y,Europe,4.112
Qatar 5Y,Asia,4.104
Norway 9M,Europe,4.101
France 50Y,Europe,4.086
France 20Y,Europe,4.074
Italy 15Y,Europe,4.062
Norway 6M,Europe,4.049
Spain 30Y,Europe,4.047
Malaysia 30Y,Asia,4.027
Belgium 50Y,Europe,4.005
Poland 2Y,Europe,4.005
Israel 20Y,Asia,4.004
Vietnam 7Y,Asia,4.004
Cote d'Ivoire 3M,,5.55
Cote d'Ivoire 6M,,6.47
Cote d'Ivoire 1Y,,6.8
Cote d'Ivoire 3Y,,7.23
Cote d'Ivoire 5Y,,7.37
Cote d'Ivoire 7Y,,7.64
Cote d'Ivoire 10Y,,7.78
Czech Republic 3Y,,4.001
Czech Republic 4Y,,4.205
Czech Republic 5Y,,4.356
Czech Republic 6Y,,4.497
Czech Republic 7Y,,4.616
Czech Republic 8Y,,4.771
Czech Republic 9Y,,4.79
Czech Republic 10Y,,4.897
Czech Republic 15Y,,4.921
Czech Republic 20Y,,5.087
Czech Republic 50Y,,5.418
Egypt Overnight,,19.642
Souht Africa 12Y,,8.775
U.K. 1M,,5.722
U.K. 3M,,4.116
U.K. 4Y,,4.032
U.K. 5Y,,4.121
U.K. 6Y,,4.196
U.K. 7Y,,4.344
U.K. 8Y,,4.502
U.K. 9Y,,4.572
U.K. 10Y,,4.634
U.K. 12Y,,4.84
U.K. 15Y,,5.027
U.K. 20Y,,5.246
U.K. 25Y,,5.309
U.K. 30Y,,5.314
U.K. 40Y,,5.3
U.K. 50Y,,4.878
U.S. 10Y,,4.132
U.S. 20Y,,4.727
U.S. 30Y,,4.756
